Zip Code,AirPods,Bananas,Cotton Swabs,Diapers,Eggs,Gum,Milk,Shampoo,T-Shirt,Toilet Paper,Vegetable Oil,Location,Area Type,Closest Distro Center,Unemployment Rate,Studio,1BR,2BR,3BR,4BR,Division,Region,Median Income,Population,Monthly Costs
74055,179.99,1.99,3.39,44.99,4.99,1.79,3.39,9.99,9.6,12.99,9.39,"Owasso, OK",Rural,140.3293902246349,4.3,890,950,1179,1555,1796,West South Central,South,86897,48776,3713
74133,179.99,1.99,3.39,44.99,4.99,1.79,3.39,9.99,9.6,12.99,9.39,"Tulsa, OK",Urban,124.88479150172377,4.6,890,950,1179,1555,1796,West South Central,South,73983,48331,3713
77840,179.99,1.99,3.39,44.99,3.99,1.79,2.59,9.99,9.6,12.99,9.39,"College Station, TX",Rural,66.03588550169796,6.2,1034,1089,1206,1690,1863,West South Central,South,31278,55180,3669
78717,179.99,1.99,3.39,44.99,3.99,1.79,2.69,9.99,9.6,12.99,9.39,"Austin, TX",Urban,138.0509107491324,3.7,1549,1650,1949,2484,2882,West South Central,South,140483,36987,4912
79707,179.99,1.99,3.39,44.99,3.99,1.79,3.39,9.99,9.6,12.99,9.39,"Midland, TX",Suburban,301.6197576693841,3.1,1286,1295,1669,2011,2359,Mountain,West,99979,37632,4458
80108,179.99,1.99,3.39,44.99,4.99,1.79,3.59,9.99,9.6,12.99,9.39,"Castle Rock, CO",Suburban,26.260104578014534,2.7,1639,1789,2140,2794,3127,Mountain,West,178670,32188,5738
80202,179.99,2.19,3.49,44.99,5.29,1.79,3.79,10.59,9.6,13.79,10.39,"Denver, CO",Urban,4.1040849720251105,2.7,1639,1789,2140,2794,3127,Mountain,West,110372,19606,4810
81401,179.99,1.99,3.39,44.99,4.49,1.79,3.89,9.99,9.6,12.99,9.39,"Montrose, CO",Rural,173.73606681504998,4.1,867,873,1145,1604,1923,Mountain,West,63541,23266,3897
82009,179.99,1.99,3.39,44.99,4.99,1.79,3.79,9.99,9.6,12.99,9.39,"Cheyenne, WY",Urban,108.92698342379084,3.1,782,903,1141,1599,1916,Mountain,West,102727,35700,5303
82609,179.99,1.99,3.39,44.99,4.99,1.79,3.89,9.99,9.6,12.99,9.39,"Casper, WY",Rural,213.87950987333113,4.3,755,868,1062,1488,1764,Mountain,West,70902,18845,5306
83001,179.99,2.19,3.49,44.99,8.69,1.79,4.39,9.99,9.6,13.99,10.39,"Jackson, WY",Suburban,382.4100548348011,1.9,1186,1194,1568,2090,2607,Mountain,West,114402,17690,6631
83704,179.99,1.99,3.39,44.99,4.99,1.79,3.29,9.99,9.6,12.99,9.39,"Boise, ID",Rural,344.9845226612499,3.4,1300,1534,1838,2575,3080,Mountain,West,70906,43430,5495
83713,179.99,1.99,3.39,44.99,4.99,1.79,3.89,9.99,9.6,12.99,9.39,"West Valley, ID",Urban,342.3721587354979,2.7,1300,1534,1838,2575,3080,Mountain,West,86419,30056,5495
83815,179.99,1.99,3.39,44.99,3.99,1.79,3.59,9.99,9.6,12.99,9.39,"Coeur d'Alene, ID",Suburban,283.18753439018025,1.7,1001,1226,1460,2046,2452,Mountain,West,77139,39412,5112
84095,179.99,1.99,3.39,44.99,4.99,1.79,3.19,9.99,9.6,12.99,9.39,"South Jordan, UT",Suburban,370.6773655998637,3,1243,1453,1748,2348,2670,Mountain,West,123082,39278,5582
84121,179.99,1.99,3.39,44.99,4.99,1.79,3.19,9.99,9.6,12.99,9.39,"Salt Lake City, UT",Urban,357.824601,2.6,1243,1453,1748,2348,2670,Mountain,West,114912,41628,5582
84660,179.99,1.99,3.39,44.99,4.99,1.79,3.19,9.99,9.6,12.99,9.39,"Spanish Fork, UT",Rural,341.1604106247501,2.2,1164,1171,1355,1899,2275,Mountain,West,98398,45959,5308
85207,179.99,1.99,3.39,44.99,3.99,1.79,2.49,9.99,9.6,12.99,9.39,"Mesa, AZ",Urban,33.43083386212708,3.9,1530,1679,1950,2624,2934,Mountain,West,99439,50108,5710
85748,179.99,1.99,3.39,44.99,3.99,1.79,3.39,9.99,9.6,12.99,9.39,"Tuscon, AZ",Rural,120.18642455145752,4.2,941,1052,1373,1924,2232,Mountain,West,93241,18816,4686
87114,179.99,1.99,3.39,44.99,4.59,1.79,3.39,9.99,9.6,12.99,9.39,"Alberquerque, NM",Urban,245.6370122032018,4.4,913,1084,1331,1865,2209,Mountain,West,81768,69402,4641
87124,179.99,1.99,3.39,44.99,4.59,1.79,3.39,9.99,9.6,12.99,9.39,"Rio Rancho, NM",Suburban,244.54207134065152,4.6,913,1084,1331,1865,2209,Mountain,West,82278,59781,5360
